name,age,int,ext
OD1,17.5,0.4,1.5
OD2,13.2,0.3,1.1
OD3,18.2,0.4,1.5
OD4,18.2,0.4,1.5
OD5,14.9,0.3,1.3
OD6,18.5,0.4,1.6
