name,age,int,ext
PD1,17.9,0.4,1.5
PD2,17.5,0.4,1.5
PD3,17.7,0.4,1.5
PD4,18.5,0.4,1.6
PD5,18.1,0.4,1.5
PD6,17.7,0.4,1.5
